first_day_of_month,DGS10
2018-01-01,2.55
2018-02-01,2.91
2018-03-01,2.81
2018-04-01,2.82
2018-05-01,3.0
2018-06-01,2.94
2018-07-01,2.83
2018-08-01,2.89
2018-09-01,2.99
2018-10-01,3.15
2018-11-01,3.12
2018-12-01,2.89
2019-01-01,2.71
2019-02-01,2.66
2019-03-01,2.63
2019-04-01,2.56
2019-05-01,2.42
2019-06-01,2.09
2019-07-01,2.12
2019-08-01,1.59
2019-09-01,1.9
2019-10-01,1.76
2019-11-01,1.82
2019-12-01,1.82
2020-01-01,1.82
2020-02-01,1.59
2020-03-01,0.94
2020-04-01,0.76
2020-05-01,0.63
2020-06-01,0.71
2020-07-01,0.63
2020-08-01,0.71
2020-09-01,0.68
2020-10-01,0.73
2020-11-01,0.89
2020-12-01,0.9
2021-01-01,1.15
2021-02-01,1.2
2021-03-01,1.64
2021-04-01,1.64
2021-05-01,1.63
2021-06-01,1.51
2021-07-01,1.37
2021-08-01,1.29
2021-09-01,1.28
2021-10-01,1.52
2021-11-01,1.58
2021-12-01,1.44
2022-01-01,1.78
2022-02-01,1.98
2022-03-01,2.14
2022-04-01,2.83
2022-05-01,2.93
2022-06-01,3.49
2022-07-01,2.96
2022-08-01,2.84
2022-09-01,3.41
2022-10-01,4.0
2022-11-01,3.88
2022-12-01,3.49
2023-01-01,3.79
