,cfips,county,state
0,01001,Autauga County,Alabama
1,01003,Baldwin County,Alabama
2,01005,Barbour County,Alabama
3,01007,Bibb County,Alabama
4,01009,Blount County,Alabama
5,01011,Bullock County,Alabama
6,01013,Butler County,Alabama
7,01015,Calhoun County,Alabama
8,01017,Chambers County,Alabama
9,01019,Cherokee County,Alabama
10,01021,Chilton County,Alabama
11,01023,Choctaw County,Alabama
12,01025,Clarke County,Alabama
13,01027,Clay County,Alabama
14,01029,Cleburne County,Alabama
15,01031,Coffee County,Alabama
16,01033,Colbert County,Alabama
17,01035,Conecuh County,Alabama
18,01037,Coosa County,Alabama
19,01039,Covington County,Alabama
20,01041,Crenshaw County,Alabama
21,01043,Cullman County,Alabama
22,01045,Dale County,Alabama
23,01047,Dallas County,Alabama
24,01049,DeKalb County,Alabama
25,01051,Elmore County,Alabama
26,01053,Escambia County,Alabama
27,01055,Etowah County,Alabama
28,01057,Fayette County,Alabama
29,01059,Franklin County,Alabama
30,01061,Geneva County,Alabama
31,01063,Greene County,Alabama
32,01065,Hale County,Alabama
33,01067,Henry County,Alabama
34,01069,Houston County,Alabama
35,01071,Jackson County,Alabama
36,01073,Jefferson County,Alabama
37,01075,Lamar County,Alabama
38,01077,Lauderdale County,Alabama
39,01079,Lawrence County,Alabama
40,01081,Lee County,Alabama
41,01083,Limestone County,Alabama
42,01085,Lowndes County,Alabama
43,01087,Macon County,Alabama
44,01089,Madison County,Alabama
45,01091,Marengo County,Alabama
46,01093,Marion County,Alabama
47,01095,Marshall County,Alabama
48,01097,Mobile County,Alabama
49,01099,Monroe County,Alabama
50,01101,Montgomery County,Alabama
51,01103,Morgan County,Alabama
52,01105,Perry County,Alabama
53,01107,Pickens County,Alabama
54,01109,Pike County,Alabama
55,01111,Randolph County,Alabama
56,01113,Russell County,Alabama
57,01115,St. Clair County,Alabama
58,01117,Shelby County,Alabama
59,01119,Sumter County,Alabama
60,01121,Talladega County,Alabama
61,01123,Tallapoosa County,Alabama
62,01125,Tuscaloosa County,Alabama
63,01127,Walker County,Alabama
64,01129,Washington County,Alabama
65,01131,Wilcox County,Alabama
66,01133,Winston County,Alabama
67,02013,Aleutians East Borough,Alaska
68,02016,Aleutians West Census Area,Alaska
69,02020,Anchorage Municipality,Alaska
70,02050,Bethel Census Area,Alaska
71,02060,Bristol Bay Borough,Alaska
72,02068,Denali Borough,Alaska
73,02070,Dillingham Census Area,Alaska
74,02090,Fairbanks North Star Borough,Alaska
75,02100,Haines Borough,Alaska
76,02105,Hoonah-Angoon Census Area,Alaska
77,02110,Juneau City and Borough,Alaska
78,02122,Kenai Peninsula Borough,Alaska
79,02130,Ketchikan Gateway Borough,Alaska
80,02150,Kodiak Island Borough,Alaska
81,02164,Lake and Peninsula Borough,Alaska
82,02170,Matanuska-Susitna Borough,Alaska
83,02180,Nome Census Area,Alaska
84,02185,North Slope Borough,Alaska
85,02188,Northwest Arctic Borough,Alaska
86,02195,Petersburg Borough,Alaska
87,02198,Prince of Wales-Hyder Census Area,Alaska
88,02220,Sitka City and Borough,Alaska
89,02230,Skagway Municipality,Alaska
90,02240,Southeast Fairbanks Census Area,Alaska
91,02275,Wrangell City and Borough,Alaska
92,02282,Yakutat City and Borough,Alaska
93,02290,Yukon-Koyukuk Census Area,Alaska
94,04001,Apache County,Arizona
95,04003,Cochise County,Arizona
96,04005,Coconino County,Arizona
97,04007,Gila County,Arizona
98,04009,Graham County,Arizona
99,04011,Greenlee County,Arizona
100,04012,La Paz County,Arizona
101,04013,Maricopa County,Arizona
102,04015,Mohave County,Arizona
103,04017,Navajo County,Arizona
104,04019,Pima County,Arizona
105,04021,Pinal County,Arizona
106,04023,Santa Cruz County,Arizona
107,04025,Yavapai County,Arizona
108,04027,Yuma County,Arizona
109,05001,Arkansas County,Arkansas
110,05003,Ashley County,Arkansas
111,05005,Baxter County,Arkansas
112,05007,Benton County,Arkansas
113,05009,Boone County,Arkansas
114,05011,Bradley County,Arkansas
115,05013,Calhoun County,Arkansas
116,05015,Carroll County,Arkansas
117,05017,Chicot County,Arkansas
118,05019,Clark County,Arkansas
119,05021,Clay County,Arkansas
120,05023,Cleburne County,Arkansas
121,05025,Cleveland County,Arkansas
122,05027,Columbia County,Arkansas
123,05029,Conway County,Arkansas
124,05031,Craighead County,Arkansas
125,05033,Crawford County,Arkansas
126,05035,Crittenden County,Arkansas
127,05037,Cross County,Arkansas
128,05039,Dallas County,Arkansas
129,05041,Desha County,Arkansas
130,05043,Drew County,Arkansas
131,05045,Faulkner County,Arkansas
132,05047,Franklin County,Arkansas
133,05049,Fulton County,Arkansas
134,05051,Garland County,Arkansas
135,05053,Grant County,Arkansas
136,05055,Greene County,Arkansas
137,05057,Hempstead County,Arkansas
138,05059,Hot Spring County,Arkansas
139,05061,Howard County,Arkansas
140,05063,Independence County,Arkansas
141,05065,Izard County,Arkansas
142,05067,Jackson County,Arkansas
143,05069,Jefferson County,Arkansas
144,05071,Johnson County,Arkansas
145,05073,Lafayette County,Arkansas
146,05075,Lawrence County,Arkansas
147,05077,Lee County,Arkansas
148,05079,Lincoln County,Arkansas
149,05081,Little River County,Arkansas
150,05083,Logan County,Arkansas
151,05085,Lonoke County,Arkansas
152,05087,Madison County,Arkansas
153,05089,Marion County,Arkansas
154,05091,Miller County,Arkansas
155,05093,Mississippi County,Arkansas
156,05095,Monroe County,Arkansas
157,05097,Montgomery County,Arkansas
158,05099,Nevada County,Arkansas
159,05101,Newton County,Arkansas
160,05103,Ouachita County,Arkansas
161,05105,Perry County,Arkansas
162,05107,Phillips County,Arkansas
163,05109,Pike County,Arkansas
164,05111,Poinsett County,Arkansas
165,05113,Polk County,Arkansas
166,05115,Pope County,Arkansas
167,05117,Prairie County,Arkansas
168,05119,Pulaski County,Arkansas
169,05121,Randolph County,Arkansas
170,05123,St. Francis County,Arkansas
171,05125,Saline County,Arkansas
172,05127,Scott County,Arkansas
173,05129,Searcy County,Arkansas
174,05131,Sebastian County,Arkansas
175,05133,Sevier County,Arkansas
176,05135,Sharp County,Arkansas
177,05137,Stone County,Arkansas
178,05139,Union County,Arkansas
179,05141,Van Buren County,Arkansas
180,05143,Washington County,Arkansas
181,05145,White County,Arkansas
182,05147,Woodruff County,Arkansas
183,05149,Yell County,Arkansas
184,06001,Alameda County,California
185,06003,Alpine County,California
186,06005,Amador County,California
187,06007,Butte County,California
188,06009,Calaveras County,California
189,06011,Colusa County,California
190,06013,Contra Costa County,California
191,06015,Del Norte County,California
192,06017,El Dorado County,California
193,06019,Fresno County,California
194,06021,Glenn County,California
195,06023,Humboldt County,California
196,06025,Imperial County,California
197,06027,Inyo County,California
198,06029,Kern County,California
199,06031,Kings County,California
200,06033,Lake County,California
201,06035,Lassen County,California
202,06037,Los Angeles County,California
203,06039,Madera County,California
204,06041,Marin County,California
205,06043,Mariposa County,California
206,06045,Mendocino County,California
207,06047,Merced County,California
208,06049,Modoc County,California
209,06051,Mono County,California
210,06053,Monterey County,California
211,06055,Napa County,California
212,06057,Nevada County,California
213,06059,Orange County,California
214,06061,Placer County,California
215,06063,Plumas County,California
216,06065,Riverside County,California
217,06067,Sacramento County,California
218,06069,San Benito County,California
219,06071,San Bernardino County,California
220,06073,San Diego County,California
221,06075,San Francisco County,California
222,06077,San Joaquin County,California
223,06079,San Luis Obispo County,California
224,06081,San Mateo County,California
225,06083,Santa Barbara County,California
226,06085,Santa Clara County,California
227,06087,Santa Cruz County,California
228,06089,Shasta County,California
229,06091,Sierra County,California
230,06093,Siskiyou County,California
231,06095,Solano County,California
232,06097,Sonoma County,California
233,06099,Stanislaus County,California
234,06101,Sutter County,California
235,06103,Tehama County,California
236,06105,Trinity County,California
237,06107,Tulare County,California
238,06109,Tuolumne County,California
239,06111,Ventura County,California
240,06113,Yolo County,California
241,06115,Yuba County,California
242,08001,Adams County,Colorado
243,08003,Alamosa County,Colorado
244,08005,Arapahoe County,Colorado
245,08007,Archuleta County,Colorado
246,08009,Baca County,Colorado
247,08011,Bent County,Colorado
248,08013,Boulder County,Colorado
249,08014,Broomfield County,Colorado
250,08015,Chaffee County,Colorado
251,08017,Cheyenne County,Colorado
252,08019,Clear Creek County,Colorado
253,08021,Conejos County,Colorado
254,08023,Costilla County,Colorado
255,08025,Crowley County,Colorado
256,08027,Custer County,Colorado
257,08029,Delta County,Colorado
258,08031,Denver County,Colorado
259,08033,Dolores County,Colorado
260,08035,Douglas County,Colorado
261,08037,Eagle County,Colorado
262,08039,Elbert County,Colorado
263,08041,El Paso County,Colorado
264,08043,Fremont County,Colorado
265,08045,Garfield County,Colorado
266,08047,Gilpin County,Colorado
267,08049,Grand County,Colorado
268,08051,Gunnison County,Colorado
269,08053,Hinsdale County,Colorado
270,08055,Huerfano County,Colorado
271,08057,Jackson County,Colorado
272,08059,Jefferson County,Colorado
273,08061,Kiowa County,Colorado
274,08063,Kit Carson County,Colorado
275,08065,Lake County,Colorado
276,08067,La Plata County,Colorado
277,08069,Larimer County,Colorado
278,08071,Las Animas County,Colorado
279,08073,Lincoln County,Colorado
280,08075,Logan County,Colorado
281,08077,Mesa County,Colorado
282,08079,Mineral County,Colorado
283,08081,Moffat County,Colorado
284,08083,Montezuma County,Colorado
285,08085,Montrose County,Colorado
286,08087,Morgan County,Colorado
